modelo,Tamano,Optimizador,Por_capa,Flattening,Training,Dev,Test
modelo_068,160x400,Adam,32 - 64,1 - 240,0.9926,1,0.9883
modelo_069,160x400,Adam,32 - 128,1 - 240,0.4973,0.5166,0.4502
modelo_070,160x400,Adam,32 - 32,1 - 380,0.9941,0.9979,1
modelo_071,160x400,Adam,32 - 64,1 - 380,0.4964,0.5168,0.4502
modelo_072,160x400,Adam,32 - 128,1 - 380,0.4982,0.5168,0.4502
modelo_073,160x400,Adamax,32 - 32,1 - 128,0.9926,0.9937,0.9883
modelo_074,160x400,Adamax,32 - 64,1 - 128,0.9944,0.991,0.9941
modelo_075,160x400,Adamax,32 - 128,1 - 128,0.9126,0.9278,0.9356
modelo_076,160x400,Adamax,32 - 32,1 - 240,0.498,0.5166,0.4502
modelo_077,160x400,Adamax,32 - 64,1 - 240,0.9964,0.9958,0.9941
modelo_078,160x400,Adamax,32 - 128,1 - 240,0.5025,0.4835,0.5497
modelo_079,160x400,Adamax,32 - 32,1 - 380,0.5041,0.4832,0.5497
modelo_080,160x400,Adamax,32 - 64,1 - 380,0.4989,0.5166,0.4502
modelo_081,160x400,Adamax,32 - 128,1 - 380,0.501,0.4835,0.5497
modelo_082,160x400,Nadam,32 - 32,1 - 128,0.5028,0.4834,0.5497
modelo_083,160x400,Nadam,32 - 64,1 - 128,0.497,0.5164,0.4502
modelo_084,160x400,Nadam,32 - 128,1 - 128,0.4983,0.5163,0.4502
modelo_085,160x400,Nadam,32 - 32,1 - 240,0.4972,0.5168,0.4502
modelo_086,160x400,Nadam,32 - 64,1 - 240,0.5025,0.4834,0.5497
modelo_087,160x400,Nadam,32 - 128,1 - 240,0.5016,0.4832,0.5497
modelo_088,160x400,Nadam,32 - 32,1 - 380,0.4981,0.5167,0.4502
modelo_089,160x400,Nadam,32 - 64,1 - 380,0.4964,0.5166,0.4502
modelo_090,160x400,Nadam,32 - 128,1 - 380,0.497,0.5167,0.4502
modelo_091,160x400,RMSProp,32 - 32,1 - 128,0.4981,0.5168,0.4502
modelo_092,160x400,RMSProp,32 - 64,1 - 128,0.981,0.98,0.9766
modelo_093,160x400,RMSProp,32 - 128,1 - 128,0.4972,0.5167,0.4502
modelo_094,160x400,RMSProp,32 - 32,1 - 240,0.9856,0.99,0.9883
modelo_095,160x400,RMSProp,32 - 64,1 - 240,0.9832,0.9704,0.9766
modelo_096,160x400,RMSProp,32 - 128,1 - 240,0.5036,0.4835,0.5497
modelo_097,160x400,RMSProp,32 - 32,1 - 380,0.9852,0.9937,1
modelo_098,160x400,RMSProp,32 - 64,1 - 380,0.4977,0.5165,0.4502
modelo_099,160x400,RMSProp,32 - 128,1 - 380,0.5041,0.4834,0.5497
modelo_100,160x400,SGD,32 - 32,1 - 128,0.9663,0.9763,0.959
modelo_101,160x400,SGD,32 - 64,1 - 128,0.9649,0.9731,0.9649
modelo_102,160x400,SGD,32 - 128,1 - 128,0.9619,0.9652,0.9356
modelo_103,160x400,SGD,32 - 32,1 - 240,0.9735,0.9627,0.959
modelo_104,160x400,SGD,32 - 64,1 - 240,0.963,0.9499,0.9473
modelo_105,160x400,SGD,32 - 128,1 - 240,0.9631,0.9705,0.959
modelo_106,160x400,SGD,32 - 32,1 - 380,0.9685,0.9783,0.9473
modelo_107,160x400,SGD,32 - 64,1 - 380,0.9765,0.9541,0.9356
modelo_108,160x400,SGD,32 - 128,1 - 380,0.9698,0.9704,0.9532
modelo_109,160x400,Adadelta,32 - 32,1 - 128,0.4967,0.5165,0.4502
modelo_110,160x400,Adadelta,32 - 64,1 - 128,0.9938,0.9942,1
modelo_111,160x400,Adadelta,32 - 128,1 - 128,0.9947,0.9958,1
modelo_112,160x400,Adadelta,32 - 32,1 - 240,0.9962,0.9932,1
modelo_113,160x400,Adadelta,32 - 64,1 - 240,0.996,0.9963,1
modelo_114,160x400,Adadelta,32 - 128,1 - 240,0.9952,0.9958,1
modelo_115,160x400,Adadelta,32 - 32,1 - 380,0.4981,0.5164,0.444
modelo_116,160x400,Adadelta,32 - 64,1 - 380,0.9956,0.9984,0.9941
modelo_117,160x400,Adadelta,32 - 128,1 - 380,0.9955,0.9915,1
modelo_118,160x400,Adagrad,32 - 32,1 - 128,0.5023,0.4833,0.5497
modelo_119,160x400,Adagrad,32 - 64,1 - 128,0.5037,0.4835,0.5497
modelo_120,160x400,Adagrad,32 - 128,1 - 128,0.4965,0.5165,0.4502
modelo_121,160x400,Adagrad,32 - 32,1 - 240,0.4977,0.5167,0.4502
modelo_122,160x400,Adagrad,32 - 64,1 - 240,0.5036,0.4835,0.5497
modelo_123,160x400,Adagrad,32 - 128,1 - 240,0.5031,0.4834,0.5497
modelo_124,160x400,Adagrad,32 - 32,1 - 380,0.4975,0.5167,0.4502
modelo_125,160x400,Adagrad,32 - 64,1 - 380,0.5022,0.4833,0.5497
modelo_126,160x400,Adagrad,32 - 128,1 - 380,0.5022,0.4833,0.5497
